scene,scene_desc,start,end
1,Jerry Standup ,0:00,0:34
2,Jerry's Apartment,0:35,2:01
3,To the Soup Nazi!,2:02,4:15
4,Elaine's Armoire,4:16,4:42
5,Crab Bisque,4:43,6:08
6,Kramer and Armoire,6:09,6:43
7,George and his soup,6:44,8:49
8,Armoire Thieves,8:50,9:38
9,George and Elaine's walk back,9:39,10:30
10,Jerry's second soup,10:31,11:08
11,Jerry's predicament,11:09,13:35
12,Kramer and the Soup Nazi,13:36,14:44
13,Jerry's Apology,14:45,16:30
14,Elaine's New Armoire,16:31,17:17
15,George's Troubles,17:18,17:49
16,Elaine and the soup nazi,17:50,18:24
17,Kramer strikes back,18:25,19:19
18,Soup recipes,19:20,20:13
19,George an Susan,20:14,21:06
20,Elaine strikes back,21:07,21:56
21,Credits,21:57,22:04
22,The last soup,22:05,22:33